"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed"
9,27,11.2049393702279,5.20493937022795,0.0913480403581453,22.3881802172327,0.108627748642059,20.8697466026931,NA,NA,0,10920,1920,270,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
10,30,11.6681598202506,5.66815982025058,0.0565936975273545,13.870356653896,0.090446239080392,17.3766842668738,NA,NA,0,12120,2120,300,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
11,33,11.9000396116483,5.90003961164827,0.0458984494884389,11.24909472398,0.0853809610464113,16.4035344928718,NA,NA,0,13320,2320,330,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
12,36,12.0379136110329,6.03791361103287,0.0388955128561525,9.53276882625084,0.0742270829907828,14.2606325956288,NA,NA,0,14520,2520,360,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
13,39,12.1714503014668,6.17145030146679,0.0481246616110753,11.794709473984,0.066439673633931,12.7645023526605,NA,NA,0,15720,2720,390,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
14,42,12.337513462105,6.33751346210498,0.0349865743303821,8.57474039093993,0.0557480351184801,10.7104066968599,NA,NA,0,16920,2920,420,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
15,45,12.3697135542502,6.36971355425025,0.031306599676045,7.67282793137177,0.0499155070074931,9.58985154174499,NA,NA,0,18120,3120,450,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
16,48,12.3807463498646,6.3807463498646,0.0329129860477494,8.06653169827494,0.0414158396748693,7.95688109306567,NA,NA,0,19320,3320,480,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
17,51,12.4189079973334,6.41890799733342,0.0289788491319539,7.10232747534063,0.0341520243864989,6.56134462717997,NA,NA,0,20520,3520,510,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
18,54,12.4237495347427,6.42374953474275,0.0227675930185659,5.58003186071423,0.0229083291878855,4.40118690867484,NA,NA,0,21720,3720,540,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
19,57,12.2730762337992,6.27307623379918,0.0179719809115686,4.40469161605815,0.0229376101099563,4.40681240889509,NA,NA,0,22920,3920,570,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
20,60,12.4071550041248,6.40715500412478,0.0201106734092441,4.92885647914087,0.0230106909989932,4.42085283277173,NA,NA,0,24120,4120,600,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
1,3,6.17428346495053,0.174283464950532,0.15485882381349,100.765010706793,0.172268103470616,96.8628406200032,NA,NA,0,0,1260,30,0,"PSRS","PSRS","strategy_comparison","PSRS",6,9006
2,6,6.47199172653634,0.471991726536342,0.148771378116075,96.8039737069518,0.159767212545915,89.8338446488837,NA,NA,0,0,2460,60,0,"PSRS","PSRS","strategy_comparison","PSRS",6,9006
3,9,6.899156283138,0.899156283138,0.117873256144281,76.698890156418,0.144950753844895,81.5028521505855,NA,NA,0,0,3660,90,0,"PSRS","PSRS","strategy_comparison","PSRS",6,9006
4,12,7.16505531498805,1.16505531498805,0.118755001933728,77.2726328836736,0.136515685359031,76.7599852013104,NA,NA,0,0,4860,120,0,"PSRS","PSRS","strategy_comparison","PSRS",6,9006
5,15,7.36432523312748,1.36432523312748,0.158352802230565,103.038505777567,0.1302349883234,73.2284773731733,NA,NA,0,0,6060,150,0,"PSRS","PSRS","strategy_comparison","PSRS",6,9006
